[2020-08-31::05:40:49.209000200 | You receive $0 in change. | SODA]
[2020-08-31::05:44:21.010000200 | You receive $1 in change. | PIZZA]
[2020-08-31::15:24:20.195000200 | You receive $1 in change. | SODA]
[2020-08-31::15:26:32.871000200 | You receive $1 in change. | PIZZA]
[2020-08-31::15:27:12.454000200 | You receive $1 in change. | SODA]
[2020-08-31::15:30:52.148000200 | You received 1 in change. | SODA]
[2020-08-31::15:35:44.355000200 | You received 1 in change. | SODA]
[2020-08-31::15:36:35.159000200 | You received 1 in change. | SODA]
[2020-08-31::15:38:48.222000200 | You received 1.00 in change. | SODA]
[2020-08-31::15:39:16.772000200 | You received 1.00 in change. | SODA]
[2020-08-31::15:39:37.254000200 | You received 1.00 in change. | SODA]
[2020-08-31::16:13:04.354000200 | You received 1.00 in change. | SODA]
[2020-08-31::16:17:39.409000200 | You received 1.00 in change. | PIZZA]
